# MOVOVL.EXE PsyQ library symbol map (verbatim-matched modules)
# vaddr           lib/module            symbol(s)
0x801DF564 LIBCD/SYS              CdGetSector2
0x801DF584 LIBCD/SYS              CdDataCallback
0x801DF5A8 LIBCD/SYS              CdDataSync
0x801DF5C8 LIBCD/SYS              CdIntToPos
0x801DF6CC LIBCD/SYS              CdPosToInt
0x801DF74C LIBCD/BIOS             getintr (static)
0x801DFCD4 LIBCD/BIOS             CD_sync
0x801DFF54 LIBCD/BIOS             CD_ready
0x801E0220 LIBCD/BIOS             CD_cw
0x801E063C LIBCD/BIOS             CD_vol
0x801E06C4 LIBCD/BIOS             CD_flush
0x801E07A4 LIBCD/BIOS             CD_initvol
0x801E0898 LIBCD/BIOS             CD_initintr
0x801E08E8 LIBCD/BIOS             CD_init
0x801E0AD4 LIBCD/BIOS             CD_datasync
0x801E0C40 LIBCD/BIOS             CD_getsector
0x801E0D40 LIBCD/BIOS             CD_getsector2
0x801E0E30 LIBCD/BIOS             CD_set_test_parmnum
0x801E0E40 LIBCD/BIOS             callback (static)
0x801E0F24 LIBC2/PUTS             puts
0x801E0F74 LIBCD/CDREAD           cb_read (static)
0x801E1244 LIBCD/CDREAD           cb_data (static)
0x801E1340 LIBCD/CDREAD           cd_read_retry (static)
0x801E1554 LIBCD/CDREAD           CdReadBreak
0x801E15F0 LIBCD/CDREAD           CdRead
0x801E16F4 LIBCD/CDREAD           CdReadSync
0x801E17C0 LIBCD/CDREAD           CdReadCallback
0x801E17D8 LIBCD/CDREAD           CdReadMode
0x801E17F0 LIBCD/CDREAD2          CdRead2
0x801E1884 LIBCD/CDREAD2          StCdInterrupt2 (static)
0x801E18A4 LIBCD/C_002            StClearRing
0x801E1904 LIBCD/C_003            StUnSetRing
0x801E1988 LIBAPI/A36             EnterCriticalSection
0x801E1998 LIBAPI/A37             ExitCriticalSection
0x801E19A8 LIBCD/C_004            data_ready_callback
0x801E1A38 LIBCD/C_004            StGetBackloc
0x801E1A98 LIBCD/C_005            StSetStream
0x801E1B20 LIBCD/C_007            StFreeRing
0x801E1BD8 LIBCD/C_008            init_ring_status
0x801E1C14 LIBCD/C_009            StGetNext
0x801E1CD8 LIBCD/C_010            StSetMask
0x801E1CF8 LIBCD/C_011            StCdInterrupt
0x801E2668 LIBCD/C_011            mem2mem (static)
0x801E269C LIBCD/C_011            dma_execute (static)
0x801E2858 LIBETC/PAD             PadInit
0x801E28A8 LIBETC/PAD             PadRead
0x801E28D0 LIBETC/PAD             PadStop
0x801E28F0 LIBAPI/A22             PAD_dr
0x801E2900 LIBAPI/A91             ChangeClearPAD
0x801E2910 LIBAPI/PAD             SetInitPadFlag
0x801E2920 LIBAPI/PAD             ReadInitPadFlag
0x801E2930 LIBAPI/PAD             PAD_init
0x801E29CC LIBAPI/PAD             InitPAD
0x801E2A68 LIBAPI/PAD             StartPAD
0x801E2A98 LIBAPI/PAD             StopPAD
0x801E2AD0 LIBAPI/PAD             SetPatchPad (static)
0x801E2B50 LIBAPI/PAD             RemovePatchPad (static)
0x801E2B88 LIBAPI/PAD             _Pad1 (static)
0x801E2BF0 LIBAPI/PAD             _IsVSync (static)
0x801E2C30 LIBAPI/A18             InitPAD2
0x801E2C40 LIBAPI/A19             StartPAD2
0x801E2C50 LIBAPI/A20             StopPAD2
0x801E2C60 LIBAPI/A21             PAD_init2
0x801E2C70 LIBAPI/L02             SysEnqIntRP
0x801E2C80 LIBAPI/L03             SysDeqIntRP
0x801E2C90 LIBAPI/PATCH           EnablePAD
0x801E2CA4 LIBAPI/PATCH           DisablePAD
0x801E2CB8 LIBAPI/PATCH           _patch_pad
0x801E2D20 LIBAPI/C68             FlushCache
0x801E2D30 LIBAPI/SENDPAD         _SendPAD
0x801E2D58 LIBAPI/SENDPAD         _send_pad
0x801E2DF0 LIBAPI/CHCLRPAD        _remove_ChgclrPAD
0x801E2E50 LIBETC/VSYNC           VSync
0x801E2F98 LIBETC/VSYNC           v_wait (static)
0x801E3034 LIBAPI/L10             ChangeClearRCnt
0x801E3044 LIBETC/INTR            ResetCallback
0x801E3074 LIBETC/INTR            InterruptCallback
0x801E30A4 LIBETC/INTR            DMACallback
0x801E30D4 LIBETC/INTR            VSyncCallback
0x801E3108 LIBETC/INTR            VSyncCallbacks
0x801E3138 LIBETC/INTR            StopCallback
0x801E3168 LIBETC/INTR            RestartCallback
0x801E3198 LIBETC/INTR            CheckCallback
0x801E31A8 LIBETC/INTR            GetIntrMask
0x801E31C0 LIBETC/INTR            SetIntrMask
0x801E31DC LIBETC/INTR            startIntr (static)
0x801E32B8 LIBETC/INTR            trapIntr (static)
0x801E34A0 LIBETC/INTR            setIntr (static)
0x801E35F4 LIBETC/INTR            stopIntr (static)
0x801E36A0 LIBETC/INTR            restartIntr (static)
0x801E3728 LIBETC/INTR            memclr (static)
0x801E375C LIBAPI/C114            _96_remove
0x801E3774 LIBAPI/A23             ReturnFromException
0x801E3784 LIBAPI/A24             ResetEntryInt
0x801E3794 LIBAPI/A25             HookEntryInt
0x801E37A4 LIBC2/SETJMP           setjmp
0x801E37E0 LIBC2/SETJMP           longjmp
0x801E3824 LIBETC/INTR_VB         startIntrVSync
0x801E387C LIBETC/INTR_VB         trapIntrVSync (static)
0x801E38F4 LIBETC/INTR_VB         setIntrVSync (static)
0x801E3920 LIBETC/INTR_VB         memclr (static)
0x801E394C LIBETC/INTR_DMA        startIntrDMA
0x801E399C LIBETC/INTR_DMA        trapIntrDMA (static)
0x801E3B20 LIBETC/INTR_DMA        setIntrDMA (static)
0x801E3BC8 LIBETC/INTR_DMA        memclr (static)
0x801E3BF4 LIBETC/VMODE           SetVideoMode
0x801E3C0C LIBETC/VMODE           GetVideoMode
0x801E3C1C LIBDS/DSCB             DsSyncCallback
0x801E3C30 LIBDS/DSCB             DsReadyCallback
0x801E3C44 LIBDS/DSCB             DsDataCallback
